trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,9,-9.463273598709922,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,0,-60.748614166851496,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.418951549247639}",30,24,9.05637105887922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,0,-46.89744592541597,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,11,-11.042916786776589,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,0,-49.50107395642586,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,0,-15.71411931326831,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,0,-28.965746994154202,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",35,21,10.217377716876465,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,0,-76.88567087998734,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,0,-1.9912896784123135,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,15,-11.839720830612885,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,8,17.621733845590878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,4,-80.14862101243236,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,16,-3.124721170035757,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-29.08080750090901,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,10,-22.990678430446316,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,2,-12.636911586552362,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,0,-23.664775054740154,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,0,20.439653198836837,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,8,3.396131777379404,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,5,9.117964920882866,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-36.506234891882364,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",30,8,-4.350423558007671,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",25,3,1.7266420641543858,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",35,11,-61.52417330467083,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,13,1.7112125637873576,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-49.41161749744943,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,0,12.741569541936276,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,-28.239631360844818,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",30,24,11.616991257238936,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,19,-39.740866679131265,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,1,-21.868812195952675,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,13,-5.8569322673624775,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,1,-25.82391264620837,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,15,-6.220476277450073,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,-8.338902622627462,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,0,-27.678261104270323,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
